ID,sp,Stage,t (¡C),Day 1,Day 4,Day 6,Day 7,Day 9,Day 10,Day 13,Day 15,Day 17,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 33,Day 35,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 46,Day 47,Day 48,Day 49,Day 50,Day 52,Day 53,Day 54,Day 55,Day 57,Day 59,Day 60,Day 67,Day 76
D_102,Myrmeleon_hyalinus,1,33,0,5.06,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_105,Myrmeleon_hyalinus,3,33,34.31,39.56,41.57,47.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,,,,,
D_107,Myrmeleon_hyalinus,3,33,50.39,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_109,Myrmeleon_hyalinus,3,33,16.88,0,0,0,P,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_11,Myrmeleon_hyalinus,3,33,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_111,Myrmeleon_hyalinus,3,33,38.11,25.52,29.36,33.78,37.1,43.23,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_113,Myrmeleon_hyalinus,2,33,26.56,47.39,48.49,50.2,48.05,46.38,0,P,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,
D_115,Myrmeleon_hyalinus,2,33,36.82,44.07,45.6,48.64,0,0,42.58,0,0,0,0,0,0,0,0,0,P,,,,,,,,,,,,,,I,,,,,,,,,,,,,,
D_116,Myrmeleon_hyalinus,3,33,25.47,26.84,13.95,0,0,0,P,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,
D_118,Myrmeleon_hyalinus,3,33,0,0,0,P,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_120,Myrmeleon_hyalinus,3,33,42.4,41.1,23.86,0,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_122,Myrmeleon_hyalinus,3,33,0,0,0,0,P,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_124,Myrmeleon_hyalinus,3,33,10.05,0,22.57,39.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,
D_125,Myrmeleon_hyalinus,1,33,40.7,47.38,54.57,57.31,62.04,66.25,70,53.49,0,0,0,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_127,Myrmeleon_hyalinus,3,33,0,0,0,0,P,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_129,Myrmeleon_hyalinus,1,33,28.69,30.37,32.83,33.16,33.21,33.31,34.79,36.95,45.86,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_13,Myrmeleon_hyalinus,3,33,0,0,P,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_131,Myrmeleon_hyalinus,3,33,35.43,36.37,0,P,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
